date,time,Engine Oil Pressure,Engine Oil Pressure Failure Probability,Engine Speed,Engine Speed Failure Probability,Engine Temperature,Engine Temperature Failure Probability,Brake Control,Brake Control Failure Probability,Transmission Pressure,Transmission Pressure Failure Probability,Pedal Sensor,Pedal Sensor Failure Probability,Water Fuel,Water Fuel Failure Probability,Fuel Level,Fuel Level Failure Probability,Fuel Pressure,Fuel Pressure Failure Probability,Fuel Temperature,Fuel Temperature Failure Probability,System Voltage,System Voltage Failure Probability,Exhaust Gas Temperature,Exhaust Gas Temperature Failure Probability,Hydraulic Pump Rate,Hydraulic Pump Rate Failure Probability,Air Filter Pressure Drop,Air Filter Pressure Drop Failure Probability,Overall Failure Probability
2024-08-10,21:05:57.048673,37.6,0.1,1936.63,0.5,262.68,0.9,0.46,0.5,351.62,0.1,53.79,0.1,1843.06,0.9,1.35,0.1,55.41,0.1,494.88,0.9,5.36,0.9,380.26,0.9,140.82,0.5,7.44,0.5,0.5000000000000001
2024-08-10,21:35:57.048673,28.7,0.1,1930.32,0.5,117.19,0.9,4.62,0.1,399.43,0.1,55.74,0.1,1991.55,0.9,-1.63,0.1,51.83,0.1,457.28,0.9,8.37,0.9,399.03,0.9,190.85,0.5,2.9,0.5,0.4714285714285715
2024-08-10,22:05:57.048673,37.34,0.1,1830.76,0.5,166.67,0.9,3.42,0.1,267.29,0.1,166.31,0.1,1885.5,0.9,4.64,0.1,69.22,0.1,447.95,0.9,8.44,0.9,402.41,0.9,274.08,0.5,5.75,0.5,0.4714285714285715
2024-08-10,22:35:57.048673,26.34,0.1,1864.31,0.5,240.35,0.9,4.13,0.1,304.44,0.1,80.22,0.1,1872.67,0.9,0.77,0.1,49.96,0.1,481.13,0.9,17.2,0.9,432.36,0.9,234.03,0.5,5.73,0.5,0.4714285714285715
2024-08-10,23:05:57.048673,50.47,0.1,2007.64,0.5,116.51,0.9,2.69,0.1,209.78,0.1,194.87,0.1,1900.54,0.9,3.58,0.1,36.77,0.1,524.45,0.9,17.13,0.9,523.12,0.9,268.06,0.5,3.49,0.5,0.4714285714285715
2024-08-10,23:35:57.048673,40.43,0.1,1906.76,0.5,242.13,0.9,1.02,0.1,328.7,0.1,45.53,0.1,1992.94,0.9,4.92,0.1,49.27,0.1,525.93,0.9,18.0,0.9,594.43,0.9,176.49,0.5,23.09,0.1,0.4428571428571429
2024-08-11,00:05:57.048673,38.4,0.1,1975.86,0.5,213.16,0.9,-1.59,0.5,390.81,0.1,61.22,0.1,1949.46,0.9,-1.18,0.1,56.17,0.1,440.16,0.9,5.95,0.9,456.57,0.9,294.21,0.5,12.93,0.5,0.5000000000000001
2024-08-11,00:35:57.048673,28.79,0.1,1881.71,0.5,126.19,0.9,5.05,0.1,327.46,0.1,43.11,0.1,1881.79,0.9,-2.89,0.1,35.54,0.1,469.54,0.9,13.39,0.1,463.95,0.9,211.12,0.5,-0.08,0.5,0.4142857142857143
2024-08-11,01:05:57.048673,68.39,0.9,1851.74,0.5,224.67,0.9,-3.41,0.5,382.17,0.1,-17.68,0.1,1863.4,0.9,-3.94,0.1,52.57,0.1,504.37,0.9,7.16,0.9,545.02,0.9,280.76,0.5,10.41,0.5,0.5571428571428572
2024-08-11,01:35:57.048673,44.65,0.1,1761.15,0.1,99.23,0.1,1.01,0.1,313.21,0.1,152.37,0.1,1839.85,0.9,-1.73,0.1,51.91,0.1,504.02,0.9,21.85,0.9,481.73,0.9,297.44,0.5,20.89,0.1,0.35714285714285715
2024-08-11,02:05:57.048673,32.46,0.1,1857.9,0.5,207.48,0.9,3.49,0.1,446.61,0.1,16.27,0.1,1845.11,0.9,0.88,0.1,44.31,0.1,563.26,0.9,2.84,0.9,432.38,0.9,309.52,0.5,13.66,0.5,0.4714285714285715
2024-08-11,02:35:57.048673,40.3,0.1,1872.07,0.5,163.48,0.9,2.55,0.1,222.76,0.1,42.7,0.1,1843.31,0.9,-1.31,0.1,51.51,0.1,576.42,0.9,8.5,0.9,347.46,0.1,199.16,0.5,10.9,0.5,0.41428571428571426
2024-08-11,03:05:57.048673,43.79,0.1,1778.83,0.1,250.19,0.9,0.04,0.5,267.98,0.1,184.05,0.1,1863.45,0.9,-3.72,0.1,55.26,0.1,584.65,0.9,13.39,0.1,562.81,0.9,302.19,0.5,17.34,0.5,0.4142857142857143
2024-08-11,03:35:57.048673,34.78,0.1,1893.01,0.5,247.75,0.9,4.96,0.1,246.5,0.1,141.19,0.1,1919.22,0.9,5.63,0.1,62.81,0.1,606.86,0.9,19.54,0.9,382.03,0.9,133.06,0.5,3.5,0.5,0.4714285714285715
2024-08-11,04:05:57.048673,43.09,0.1,1794.6,0.1,241.97,0.9,1.58,0.1,423.81,0.1,3.73,0.1,1926.15,0.9,1.16,0.1,69.15,0.1,584.66,0.9,12.34,0.1,473.73,0.9,348.14,0.5,14.54,0.5,0.38571428571428573
2024-08-11,04:35:57.048673,46.61,0.1,1808.8,0.5,154.65,0.9,-2.37,0.5,200.88,0.1,195.02,0.1,1894.83,0.9,4.72,0.1,50.38,0.1,521.43,0.9,14.18,0.1,454.39,0.9,296.4,0.5,20.35,0.1,0.41428571428571426
2024-08-11,05:05:57.048673,49.56,0.1,1813.79,0.5,117.74,0.9,-0.72,0.5,223.84,0.1,224.23,0.1,1966.37,0.9,2.98,0.1,48.96,0.1,535.61,0.9,13.41,0.1,491.6,0.9,181.04,0.5,1.61,0.5,0.4428571428571429
2024-08-11,05:35:57.048673,69.66,0.9,2003.38,0.5,241.13,0.9,-0.83,0.5,288.37,0.1,148.97,0.1,1788.23,0.1,-3.56,0.1,60.44,0.1,505.36,0.9,11.43,0.9,507.18,0.9,216.27,0.5,17.53,0.5,0.5000000000000001
2024-08-11,06:05:57.048673,66.37,0.9,1975.37,0.5,262.51,0.9,3.15,0.1,247.27,0.1,131.99,0.1,1928.05,0.9,2.77,0.1,46.18,0.1,567.17,0.9,7.76,0.9,536.5,0.9,227.34,0.5,13.08,0.5,0.5285714285714287
2024-08-11,06:35:57.048673,48.33,0.1,1956.33,0.5,281.79,0.9,4.95,0.1,234.37,0.1,99.06,0.1,1881.01,0.9,0.89,0.1,47.79,0.1,446.3,0.9,24.3,0.9,477.94,0.9,229.11,0.5,-1.32,0.5,0.4714285714285715
2024-08-11,07:05:57.048673,49.95,0.1,1931.25,0.5,209.44,0.9,-0.06,0.5,246.8,0.1,115.51,0.1,1834.53,0.9,-1.61,0.1,56.55,0.1,530.83,0.9,16.03,0.9,421.94,0.9,312.73,0.5,15.18,0.5,0.5000000000000001
2024-08-11,07:35:57.048673,24.15,0.9,1917.19,0.5,275.19,0.9,-2.18,0.5,422.69,0.1,193.36,0.1,1964.83,0.9,-4.54,0.1,64.96,0.1,557.46,0.9,4.86,0.9,495.14,0.9,164.26,0.5,2.1,0.5,0.5571428571428572
2024-08-11,08:05:57.048673,41.71,0.1,1857.59,0.5,64.57,0.1,0.19,0.5,345.84,0.1,179.71,0.1,1909.93,0.9,-3.47,0.1,51.99,0.1,428.39,0.9,17.9,0.9,427.91,0.9,192.06,0.5,0.26,0.5,0.44285714285714295
2024-08-11,08:35:57.048673,17.9,0.9,1842.66,0.5,237.45,0.9,-2.2,0.5,233.96,0.1,152.63,0.1,1849.94,0.9,0.46,0.1,63.69,0.1,572.99,0.9,19.31,0.9,420.5,0.9,266.25,0.5,10.48,0.5,0.5571428571428572
2024-08-11,09:05:57.048673,50.69,0.1,1772.36,0.1,120.38,0.9,-1.94,0.5,440.7,0.1,70.09,0.1,1931.56,0.9,2.75,0.1,51.78,0.1,609.99,0.9,16.2,0.9,332.5,0.1,172.8,0.5,19.64,0.5,0.41428571428571426
2024-08-11,09:35:57.048673,53.22,0.1,1856.29,0.5,256.54,0.9,1.65,0.1,314.16,0.1,139.38,0.1,1972.31,0.9,1.2,0.1,56.58,0.1,537.75,0.9,6.83,0.9,549.07,0.9,134.69,0.5,16.24,0.5,0.4714285714285715
2024-08-11,10:05:57.048673,59.02,0.1,1886.52,0.5,195.54,0.9,1.29,0.1,238.7,0.1,174.4,0.1,1913.87,0.9,-2.92,0.1,63.17,0.1,404.56,0.9,12.9,0.1,465.29,0.9,186.05,0.5,14.41,0.5,0.4142857142857143
2024-08-11,10:35:57.048673,25.03,0.1,1830.97,0.5,235.22,0.9,3.9,0.1,353.7,0.1,7.06,0.1,1809.66,0.9,4.9,0.1,28.62,0.1,533.83,0.9,13.09,0.1,338.15,0.1,368.84,0.5,4.62,0.5,0.35714285714285715
2024-08-11,11:05:57.048673,57.92,0.1,1892.51,0.5,219.46,0.9,-4.56,0.5,281.08,0.1,62.41,0.1,1953.37,0.9,0.11,0.1,54.59,0.1,572.34,0.9,18.5,0.9,476.22,0.9,305.84,0.5,4.92,0.5,0.5000000000000001
2024-08-11,11:35:57.048673,56.11,0.1,1859.02,0.5,198.9,0.9,1.69,0.1,440.82,0.1,190.83,0.1,2002.39,0.9,2.95,0.1,59.44,0.1,482.17,0.9,19.67,0.9,518.12,0.9,250.59,0.5,5.95,0.5,0.4714285714285715
2024-08-11,12:05:57.048673,35.31,0.1,1898.78,0.5,177.58,0.9,-1.03,0.5,248.28,0.1,142.21,0.1,1920.25,0.9,4.01,0.1,50.16,0.1,389.25,0.1,11.12,0.9,484.39,0.9,273.07,0.5,18.44,0.5,0.44285714285714295
2024-08-11,12:35:57.048673,53.59,0.1,1789.91,0.1,274.3,0.9,4.51,0.1,223.76,0.1,35.17,0.1,1872.85,0.9,-1.64,0.1,59.87,0.1,473.29,0.9,9.6,0.9,409.9,0.9,179.34,0.5,3.88,0.5,0.44285714285714295
2024-08-11,13:05:57.048673,45.5,0.1,1889.12,0.5,295.94,0.9,1.31,0.1,213.52,0.1,205.14,0.1,2002.26,0.9,-2.65,0.1,51.55,0.1,607.97,0.9,7.8,0.9,498.59,0.9,281.9,0.5,9.31,0.5,0.4714285714285715
2024-08-11,13:35:57.048673,48.99,0.1,1884.12,0.5,288.65,0.9,-3.83,0.5,208.75,0.1,130.79,0.1,1835.48,0.9,0.56,0.1,57.36,0.1,529.46,0.9,17.64,0.9,552.61,0.9,111.09,0.1,15.27,0.5,0.4714285714285715
2024-08-11,14:05:57.048673,27.55,0.1,1856.55,0.5,125.71,0.9,-1.22,0.5,217.74,0.1,48.26,0.1,1850.74,0.9,2.39,0.1,47.48,0.1,483.55,0.9,18.22,0.9,499.62,0.9,174.06,0.5,15.82,0.5,0.5000000000000001
2024-08-11,14:35:57.048673,35.81,0.1,1843.77,0.5,119.37,0.9,-0.77,0.5,372.14,0.1,163.6,0.1,1845.1,0.9,5.26,0.1,58.04,0.1,516.55,0.9,17.37,0.9,423.15,0.9,302.28,0.5,-1.25,0.5,0.5000000000000001
2024-08-11,15:05:57.048673,32.73,0.1,1861.22,0.5,196.31,0.9,-0.13,0.5,350.46,0.1,188.27,0.1,2033.57,0.9,4.51,0.1,44.84,0.1,513.92,0.9,20.72,0.9,503.47,0.9,131.48,0.5,5.42,0.5,0.5000000000000001
2024-08-11,15:35:57.048673,48.36,0.1,1960.44,0.5,167.71,0.9,0.79,0.5,356.86,0.1,39.92,0.1,1844.37,0.9,-3.95,0.1,28.48,0.1,597.58,0.9,13.55,0.1,427.98,0.9,173.47,0.5,9.98,0.5,0.4428571428571429
2024-08-11,16:05:57.048673,52.79,0.1,1786.54,0.1,257.13,0.9,5.01,0.1,218.35,0.1,175.35,0.1,1790.59,0.1,-3.69,0.1,47.01,0.1,551.55,0.9,16.75,0.9,438.64,0.9,223.02,0.5,6.48,0.5,0.38571428571428573
2024-08-11,16:35:57.048673,36.88,0.1,1864.96,0.5,293.87,0.9,-4.12,0.5,303.67,0.1,-15.48,0.1,1915.77,0.9,-2.31,0.1,30.19,0.1,625.33,0.9,14.64,0.1,391.74,0.9,250.31,0.5,1.84,0.5,0.4428571428571429
2024-08-11,17:05:57.048673,27.5,0.1,1945.07,0.5,169.63,0.9,3.31,0.1,432.13,0.1,143.62,0.1,1931.39,0.9,3.66,0.1,44.19,0.1,506.02,0.9,21.88,0.9,503.73,0.9,140.17,0.5,5.38,0.5,0.4714285714285715
2024-08-11,17:35:57.048673,49.09,0.1,1766.81,0.1,205.47,0.9,-4.81,0.5,443.88,0.1,55.0,0.1,1897.41,0.9,-2.49,0.1,32.19,0.1,558.5,0.9,3.21,0.9,428.22,0.9,211.01,0.5,11.31,0.5,0.4714285714285715
2024-08-11,18:05:57.048673,25.66,0.1,1950.47,0.5,236.81,0.9,4.73,0.1,395.53,0.1,210.88,0.1,1941.29,0.9,2.38,0.1,35.61,0.1,558.08,0.9,11.76,0.9,464.17,0.9,287.68,0.5,-0.6,0.5,0.4714285714285715
2024-08-11,18:35:57.048673,63.39,0.1,1888.78,0.5,311.93,0.9,-1.56,0.5,387.97,0.1,195.95,0.1,1970.91,0.9,0.63,0.1,73.29,0.1,375.12,0.1,16.91,0.9,499.91,0.9,260.24,0.5,15.08,0.5,0.44285714285714295
2024-08-11,19:05:57.048673,48.78,0.1,1866.01,0.5,280.11,0.9,3.25,0.1,239.25,0.1,-18.77,0.1,1994.47,0.9,-0.89,0.1,53.08,0.1,534.32,0.9,7.61,0.9,464.46,0.9,186.37,0.5,10.57,0.5,0.4714285714285715
2024-08-11,19:35:57.048673,48.88,0.1,1978.41,0.5,135.28,0.9,4.07,0.1,446.45,0.1,116.63,0.1,1986.54,0.9,-0.48,0.1,45.93,0.1,509.47,0.9,6.24,0.9,480.74,0.9,209.95,0.5,12.21,0.5,0.4714285714285715
2024-08-11,20:05:57.048673,49.5,0.1,1965.79,0.5,191.47,0.9,-3.73,0.5,211.32,0.1,182.45,0.1,1959.45,0.9,-3.09,0.1,43.53,0.1,389.78,0.1,18.51,0.9,607.98,0.9,245.64,0.5,15.58,0.5,0.44285714285714295
2024-08-11,20:35:57.048673,27.93,0.1,1956.34,0.5,228.15,0.9,-1.19,0.5,274.15,0.1,42.71,0.1,1856.42,0.9,4.71,0.1,41.37,0.1,608.74,0.9,18.61,0.9,454.93,0.9,109.76,0.1,14.52,0.5,0.4714285714285715
2024-08-11,21:05:57.048673,47.06,0.1,1918.99,0.5,190.58,0.9,2.32,0.1,430.53,0.1,-5.67,0.1,1827.04,0.9,-1.6,0.1,48.35,0.1,517.62,0.9,11.95,0.9,327.99,0.1,270.21,0.5,9.76,0.5,0.41428571428571426
2024-08-11,21:35:57.048673,46.89,0.1,1820.74,0.5,303.7,0.9,-3.54,0.5,299.9,0.1,198.99,0.1,1866.72,0.9,0.85,0.1,58.36,0.1,506.66,0.9,5.37,0.9,385.16,0.9,301.25,0.5,6.62,0.5,0.5000000000000001
2024-08-11,22:05:57.048673,63.86,0.1,1834.32,0.5,171.88,0.9,0.31,0.5,250.36,0.1,191.6,0.1,1883.64,0.9,1.11,0.1,37.12,0.1,557.2,0.9,17.88,0.9,381.13,0.9,140.96,0.5,15.33,0.5,0.5000000000000001
2024-08-11,22:35:57.048673,40.75,0.1,2012.97,0.5,147.88,0.9,3.71,0.1,198.1,0.5,138.41,0.1,1907.52,0.9,1.67,0.1,57.27,0.1,601.57,0.9,13.08,0.1,451.71,0.9,253.98,0.5,14.92,0.5,0.4428571428571429
2024-08-11,23:05:57.048673,62.26,0.1,1851.18,0.5,245.33,0.9,4.92,0.1,278.9,0.1,3.04,0.1,1876.24,0.9,-2.82,0.1,50.52,0.1,454.93,0.9,14.51,0.1,550.2,0.9,338.61,0.5,9.35,0.5,0.4142857142857143
2024-08-11,23:35:57.048673,58.83,0.1,1783.71,0.1,219.69,0.9,4.62,0.1,224.48,0.1,78.0,0.1,1967.89,0.9,-1.15,0.1,55.57,0.1,477.63,0.9,20.05,0.9,399.42,0.9,300.0,0.5,-0.59,0.5,0.44285714285714295
2024-08-12,00:05:57.048673,27.64,0.1,1914.95,0.5,247.32,0.9,3.77,0.1,327.4,0.1,94.15,0.1,1917.75,0.9,-3.62,0.1,47.36,0.1,479.14,0.9,15.7,0.9,505.1,0.9,157.33,0.5,-1.3,0.5,0.4714285714285715
2024-08-12,00:35:57.048673,59.89,0.1,2000.85,0.5,279.19,0.9,4.33,0.1,368.89,0.1,21.6,0.1,1928.53,0.9,-0.65,0.1,56.52,0.1,438.71,0.9,22.58,0.9,456.84,0.9,224.52,0.5,18.13,0.5,0.4714285714285715
2024-08-12,01:05:57.048673,34.98,0.1,1925.81,0.5,249.03,0.9,-3.0,0.5,376.74,0.1,-1.8,0.1,1799.36,0.1,1.28,0.1,39.92,0.1,503.45,0.9,21.75,0.9,507.88,0.9,271.99,0.5,-1.03,0.5,0.44285714285714295
2024-08-12,01:35:57.048673,47.48,0.1,1966.11,0.5,278.28,0.9,3.38,0.1,342.04,0.1,64.43,0.1,1966.77,0.9,1.6,0.1,49.13,0.1,456.85,0.9,16.36,0.9,537.84,0.9,259.55,0.5,13.86,0.5,0.4714285714285715
2024-08-12,02:05:57.048673,34.74,0.1,1809.3,0.5,217.76,0.9,1.96,0.1,386.02,0.1,88.61,0.1,1837.06,0.9,-4.07,0.1,34.74,0.1,577.44,0.9,7.37,0.9,465.22,0.9,168.06,0.5,-4.81,0.5,0.4714285714285715
2024-08-12,02:35:57.048673,24.5,0.9,1805.49,0.5,272.72,0.9,-1.55,0.5,430.88,0.1,33.83,0.1,1807.29,0.9,4.25,0.1,53.85,0.1,561.71,0.9,10.72,0.9,440.47,0.9,327.93,0.5,10.25,0.5,0.5571428571428572
2024-08-12,03:05:57.048673,67.05,0.9,1914.4,0.5,187.39,0.9,-4.15,0.5,354.68,0.1,15.98,0.1,1878.15,0.9,-0.69,0.1,48.96,0.1,401.51,0.9,18.2,0.9,486.93,0.9,194.75,0.5,16.85,0.5,0.5571428571428572
2024-08-12,03:35:57.048673,56.98,0.1,1906.85,0.5,242.14,0.9,-3.04,0.5,201.37,0.1,62.31,0.1,1869.81,0.9,0.71,0.1,49.88,0.1,565.02,0.9,12.68,0.1,477.13,0.9,215.16,0.5,11.91,0.5,0.4428571428571429
2024-08-12,04:05:57.048673,65.05,0.9,1976.43,0.5,176.99,0.9,1.38,0.1,380.16,0.1,46.3,0.1,1850.37,0.9,-0.65,0.1,30.14,0.1,542.85,0.9,4.46,0.9,428.05,0.9,271.0,0.5,4.47,0.5,0.5285714285714287
2024-08-12,04:35:57.048673,63.6,0.1,1901.71,0.5,154.87,0.9,5.15,0.1,286.83,0.1,-0.31,0.1,1784.34,0.1,0.34,0.1,51.68,0.1,468.82,0.9,20.71,0.9,518.26,0.9,300.64,0.5,18.12,0.5,0.4142857142857143
2024-08-12,05:05:57.048673,37.23,0.1,1873.7,0.5,219.91,0.9,4.1,0.1,306.16,0.1,26.03,0.1,1795.77,0.1,4.93,0.1,48.68,0.1,480.01,0.9,15.86,0.9,452.96,0.9,361.8,0.5,13.16,0.5,0.4142857142857143
2024-08-12,05:35:57.048673,43.85,0.1,1832.97,0.5,204.41,0.9,4.87,0.1,431.81,0.1,148.37,0.1,1855.18,0.9,3.07,0.1,50.81,0.1,553.69,0.9,23.01,0.9,498.04,0.9,230.28,0.5,2.75,0.5,0.4714285714285715
2024-08-12,06:05:57.048673,53.2,0.1,1901.49,0.5,257.01,0.9,0.06,0.5,412.17,0.1,165.01,0.1,1801.02,0.9,0.25,0.1,68.27,0.1,450.84,0.9,13.55,0.1,532.96,0.9,126.51,0.5,15.98,0.5,0.4428571428571429
2024-08-12,06:35:57.048673,45.39,0.1,1845.75,0.5,243.76,0.9,4.79,0.1,212.17,0.1,172.91,0.1,1810.36,0.9,4.08,0.1,50.07,0.1,577.58,0.9,19.3,0.9,545.54,0.9,141.48,0.5,0.63,0.5,0.4714285714285715
2024-08-12,07:05:57.048673,32.6,0.1,1830.86,0.5,311.42,0.9,4.62,0.1,326.64,0.1,20.13,0.1,1979.61,0.9,-4.22,0.1,42.99,0.1,424.58,0.9,23.0,0.9,486.63,0.9,186.94,0.5,5.93,0.5,0.4714285714285715
2024-08-12,07:35:57.048673,66.23,0.9,1886.34,0.5,168.45,0.9,-0.0,0.5,348.96,0.1,37.32,0.1,1869.78,0.9,3.86,0.1,51.98,0.1,456.11,0.9,12.75,0.1,385.24,0.9,206.34,0.5,13.15,0.5,0.5
2024-08-12,08:05:57.048673,25.23,0.1,1786.99,0.1,202.66,0.9,-4.12,0.5,266.52,0.1,28.14,0.1,1849.09,0.9,-1.02,0.1,66.51,0.1,527.76,0.9,22.41,0.9,401.56,0.9,212.53,0.5,14.69,0.5,0.4714285714285715
